TERM	CLASS	DEFINITION	DEFINITION (DARWIN CORE)	DESCRIPTION	DESCRIPTION (DARWIN CORE)	CONTENT	NOTES	CONTROLLED VOCABULARY	DECISION	REFINES	DECISION DATE	RECOMMENDATION NOTES	NAMESPACE	URI (DARWIN CORE)	URI	LABEL	DATA TYPE	SORT	ISSUED	UPDATED	post_author	post_date	post_content	post_title	post_status	post_name	post_type	identifier	class	definition	description	project	label	refines	status	date_issued	date_modified	version
dateIdentified	Identification	The date on which the subject was identified as representing the Taxon. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	The date on which the subject was identified as representing the Taxon. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/dateIdentified	http://rs.tdwg.org/dwc/terms/dateIdentified	Date Identified		214	2015-05-06	2015-05-06	kenny	2015-05-06		dateIdentified	publish	dateIdentified	ethocore_term	http://rs.tdwg.org/dwc/terms/dateIdentified	Identification	The date on which the subject was identified as representing the Taxon. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).	Examples: "1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007.	Darwin Core	Date Identified		recommended	2015-05-06	2015-05-06	dateIdentified-2015-05-06
identificationID	Identification	An identifier for the Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.	An identifier for the Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.						recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/identificationID	http://rs.tdwg.org/dwc/terms/identificationID	Identification ID		210	2015-05-06	2015-05-06	kenny	2015-05-06		identificationID	publish	identificationID	ethocore_term	http://rs.tdwg.org/dwc/terms/identificationID	Identification	An identifier for the Identification (the body of information associated with the assignment of a scientific name). May be a global unique identifier or an identifier specific to the data set.		Darwin Core	Identification ID		recommended	2015-05-06	2015-05-06	identificationID-2015-05-06
identificationQualifier	Identification	A brief phrase or a standard term ("cf.", "aff.") to express the determiner's doubts about the Identification.	A brief phrase or a standard term ("cf.", "aff.") to express the determiner's doubts about the Identification.	Examples: 1) For the determination "Quercus aff. agrifolia var. oxyadenia", identificationQualifier would be "aff. agrifolia var. oxyadenia" with accompanying values "Quercus" in genus, "agrifolia" in specificEpithet, "oxyadenia" in infraspecificEpithet, and "var." in rank. 2) For the determination "Quercus agrifolia cf. var. oxyadenia", identificationQualifier would be "cf. var. oxyadenia " with accompanying values "Quercus" in genus, "agrifolia" in specificEpithet, "oxyadenia" in infraspecificEpithet, and "var." in rank.	Examples: 1) For the determination "Quercus aff. agrifolia var. oxyadenia", identificationQualifier would be "aff. agrifolia var. oxyadenia" with accompanying values "Quercus" in genus, "agrifolia" in specificEpithet, "oxyadenia" in infraspecificEpithet, and "var." in rank. 2) For the determination "Quercus agrifolia cf. var. oxyadenia", identificationQualifier would be "cf. var. oxyadenia " with accompanying values "Quercus" in genus, "agrifolia" in specificEpithet, "oxyadenia" in infraspecificEpithet, and "var." in rank.				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/identificationQualifier	http://rs.tdwg.org/dwc/terms/identificationQualifier	Identification Qualifier		211	2015-05-06	2015-05-06	kenny	2015-05-06		identificationQualifier	publish	identificationQualifier	ethocore_term	http://rs.tdwg.org/dwc/terms/identificationQualifier	Identification	A brief phrase or a standard term ("cf.", "aff.") to express the determiner's doubts about the Identification.	Examples: 1) For the determination "Quercus aff. agrifolia var. oxyadenia", identificationQualifier would be "aff. agrifolia var. oxyadenia" with accompanying values "Quercus" in genus, "agrifolia" in specificEpithet, "oxyadenia" in infraspecificEpithet, and "var." in rank. 2) For the determination "Quercus agrifolia cf. var. oxyadenia", identificationQualifier would be "cf. var. oxyadenia " with accompanying values "Quercus" in genus, "agrifolia" in specificEpithet, "oxyadenia" in infraspecificEpithet, and "var." in rank.	Darwin Core	Identification Qualifier		recommended	2015-05-06	2015-05-06	identificationQualifier-2015-05-06
identificationReferences	Identification	A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.	A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "Aves del Noroeste Patagonico. Christie et al. 2004.", "Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). ''The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata).'' Herpetologica, 53(1), 30-49.".	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "Aves del Noroeste Patagonico. Christie et al. 2004.", "Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). ''The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata).'' Herpetologica, 53(1), 30-49.".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/identificationReferences	http://rs.tdwg.org/dwc/terms/identificationReferences	Identification References		215	2015-05-06	2015-05-06	kenny	2015-05-06		identificationReferences	publish	identificationReferences	ethocore_term	http://rs.tdwg.org/dwc/terms/identificationReferences	Identification	A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the Identification.	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "Aves del Noroeste Patagonico. Christie et al. 2004.", "Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). ''The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata).'' Herpetologica, 53(1), 30-49.".	Darwin Core	Identification References		recommended	2015-05-06	2015-05-06	identificationReferences-2015-05-06
identificationRemarks	Identification	Comments or notes about the Identification.	Comments or notes about the Identification.	Example: "Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.".	Example: "Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/identificationRemarks	http://rs.tdwg.org/dwc/terms/identificationRemarks	Identification Remarks		217	2015-05-06	2015-05-06	kenny	2015-05-06		identificationRemarks	publish	identificationRemarks	ethocore_term	http://rs.tdwg.org/dwc/terms/identificationRemarks	Identification	Comments or notes about the Identification.	Example: "Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.".	Darwin Core	Identification Remarks		recommended	2015-05-06	2015-05-06	identificationRemarks-2015-05-06
identificationVerificationStatus	Identification	A categorical indicator of the extent to which the taxonomic identification has been verified to be correct. Recommended best practice is to use a controlled vocabulary such as that used in HISPID/ABCD.	A categorical indicator of the extent to which the taxonomic identification has been verified to be correct. Recommended best practice is to use a controlled vocabulary such as that used in HISPID/ABCD.	Examples: "0", "4".	Examples: "0", "4".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/identificationVerificationStatus	http://rs.tdwg.org/dwc/terms/identificationVerificationStatus	Identification Verification Status		216	2015-05-06	2015-05-06	kenny	2015-05-06		identificationVerificationStatus	publish	identificationVerificationStatus	ethocore_term	http://rs.tdwg.org/dwc/terms/identificationVerificationStatus	Identification	A categorical indicator of the extent to which the taxonomic identification has been verified to be correct. Recommended best practice is to use a controlled vocabulary such as that used in HISPID/ABCD.	Examples: "0", "4".	Darwin Core	Identification Verification Status		recommended	2015-05-06	2015-05-06	identificationVerificationStatus-2015-05-06
identifiedBy	Identification	A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.	A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "James L. Patton", "Theodore Pappenfuss | Robert Macey".	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "James L. Patton", "Theodore Pappenfuss | Robert Macey".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/identifiedBy	http://rs.tdwg.org/dwc/terms/identifiedBy	Identified By		213	2015-05-06	2015-05-06	kenny	2015-05-06		identifiedBy	publish	identifiedBy	ethocore_term	http://rs.tdwg.org/dwc/terms/identifiedBy	Identification	A list (concatenated and separated) of names of people, groups, or organizations who assigned the Taxon to the subject.	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "James L. Patton", "Theodore Pappenfuss | Robert Macey".	Darwin Core	Identified By		recommended	2015-05-06	2015-05-06	identifiedBy-2015-05-06
typeStatus	Identification	A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.	A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388", "holotype of Pinus abies | holotype of Picea abies".	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388", "holotype of Pinus abies | holotype of Picea abies".				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/typeStatus	http://rs.tdwg.org/dwc/terms/typeStatus	Type Status		212	2015-05-06	2015-05-06	kenny	2015-05-06		typeStatus	publish	typeStatus	ethocore_term	http://rs.tdwg.org/dwc/terms/typeStatus	Identification	A list (concatenated and separated) of nomenclatural types (type status, typified scientific name, publication) applied to the subject.	The recommended best practice is to separate the values with a vertical bar (' | '). Examples: "holotype of Ctenomys sociabilis. Pearson O. P., and M. I. Christie. 1985. Historia Natural, 5(37):388", "holotype of Pinus abies | holotype of Picea abies".	Darwin Core	Type Status		recommended	2015-05-06	2015-05-06	typeStatus-2015-05-06
animalID	Animal	An identifier for an Animal. Meant to accommodate resampling of the same individual or group of individuals for monitoring purposes. May be a global unique identifier or an identifier specific to a data set.							recommended	http://rs.tdwg.org/dwc/terms/organismID	3/27/2015		Ethogrammar		http://ethoinformatics.org/ethocore/animalID	Animal ID		92	2015-05-06	2015-05-06	kenny	2015-05-06		animalID	publish	animalID	ethocore_term	http://ethoinformatics.org/ethocore/animalID	Animal	An identifier for an Animal. Meant to accommodate resampling of the same individual or group of individuals for monitoring purposes. May be a global unique identifier or an identifier specific to a data set.		Ethogrammar	Animal ID	http://rs.tdwg.org/dwc/terms/organismID	recommended	2015-05-06	2015-05-06	animalID-2015-05-06
animalName	Animal	The given name of the Animal.		Examples: "Frodo", "Koko", "Pumphouse Gang".					recommended	http://rs.tdwg.org/dwc/terms/organismName	3/27/2015		Ethogrammar		http://ethoinformatics.org/ethocore/animalName	Animal Name		93	2015-05-06	2015-05-06	kenny	2015-05-06		animalName	publish	animalName	ethocore_term	http://ethoinformatics.org/ethocore/animalName	Animal	The given name of the Animal.	Examples: "Frodo", "Koko", "Pumphouse Gang".	Ethogrammar	Animal Name	http://rs.tdwg.org/dwc/terms/organismName	recommended	2015-05-06	2015-05-06	animalName-2015-05-06
animalCode	Animal	A shorthand code for the Animal.		Examples: "FRO", "KOK", "PG"					recommended		3/27/2015		Ethogrammar		http://ethoinformatics.org/ethocore/animalCode	Animal Code		94	2015-05-06	2015-05-06	kenny	2015-05-06		animalCode	publish	animalCode	ethocore_term	http://ethoinformatics.org/ethocore/animalCode	Animal	A shorthand code for the Animal.	Examples: "FRO", "KOK", "PG"	Ethogrammar	Animal Code		recommended	2015-05-06	2015-05-06	animalCode-2015-05-06
animalScope	Animal	A description of the kind of Animal instance. Can be used to indicate whether the Animal instance represents a discrete animal or if it represents a particular type of aggregation. Recommended best practice is to use a controlled vocabulary.		Examples: "individual", "social group", "pack", "colony".				Ethogrammar Animal Scopes	recommended	http://rs.tdwg.org/dwc/terms/organismScope	3/27/2015		Ethogrammar		http://ethoinformatics.org/ethocore/animalScope	Animal Scope		95	2015-05-06	2015-05-06	kenny	2015-05-06		animalScope	publish	animalScope	ethocore_term	http://ethoinformatics.org/ethocore/animalScope	Animal	A description of the kind of Animal instance. Can be used to indicate whether the Animal instance represents a discrete animal or if it represents a particular type of aggregation. Recommended best practice is to use a controlled vocabulary.	Examples: "individual", "social group", "pack", "colony".	Ethogrammar	Animal Scope	http://rs.tdwg.org/dwc/terms/organismScope	recommended	2015-05-06	2015-05-06	animalScope-2015-05-06
animalRemarks	Animal	Comments or notes about the Animal. May include notes that assist in the identification of animals.							recommended	http://rs.tdwg.org/dwc/terms/organismRemarks	3/27/2015		Ethogrammar		http://ethoinformatics.org/ethocore/animalRemarks	Animal Remarks		99	2015-05-06	2015-05-06	kenny	2015-05-06		animalRemarks	publish	animalRemarks	ethocore_term	http://ethoinformatics.org/ethocore/animalRemarks	Animal	Comments or notes about the Animal. May include notes that assist in the identification of animals.		Ethogrammar	Animal Remarks	http://rs.tdwg.org/dwc/terms/organismRemarks	recommended	2015-05-06	2015-05-06	animalRemarks-2015-05-06
animalSex	Animal	The sex or sexes of the Animal. Recommended best practice is to use a controlled vocabulary.		Example: "male", "female", "mixed"				Ethogrammar Sexes	recommended		3/27/2015		Ethogrammar		http://ethoinformatics.org/ethocore/animalSex	Animal Sex		96	2015-05-06	2015-05-06	kenny	2015-05-06		animalSex	publish	animalSex	ethocore_term	http://ethoinformatics.org/ethocore/animalSex	Animal	The sex or sexes of the Animal. Recommended best practice is to use a controlled vocabulary.	Example: "male", "female", "mixed"	Ethogrammar	Animal Sex		recommended	2015-05-06	2015-05-06	animalSex-2015-05-06
continent	Location	The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Examples: "Africa", "Antarctica", "Asia", "Europe", "North America", "Oceania", "South America"	Examples: "Africa", "Antarctica", "Asia", "Europe", "North America", "Oceania", "South America"			Getty Thesaurus of Geographic Names	recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/continent	http://rs.tdwg.org/dwc/terms/continent	Continent	string	147	2015-05-06	2015-05-06	kenny	2015-05-06		continent	publish	continent	ethocore_term	http://rs.tdwg.org/dwc/terms/continent	Location	The name of the continent in which the Location occurs. Recommended best practice is to use a controlled vocabulary such as the Getty Thesaurus of Geographic Names.	Examples: "Africa", "Antarctica", "Asia", "Europe", "North America", "Oceania", "South America"	Darwin Core	Continent		recommended	2015-05-06	2015-05-06	continent-2015-05-06
coordinatePrecision	Location	A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.	A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.	Examples: "0.00001" (normal GPS limit for decimal degrees), "0.000278" (nearest second), "0.01667" (nearest minute), "1.0" (nearest degree)	Examples: "0.00001" (normal GPS limit for decimal degrees), "0.000278" (nearest second), "0.01667" (nearest minute), "1.0" (nearest degree)				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/coordinatePrecision	http://rs.tdwg.org/dwc/terms/coordinatePrecision	Coordinate Precision	number	175	2015-05-06	2015-05-06	kenny	2015-05-06		coordinatePrecision	publish	coordinatePrecision	ethocore_term	http://rs.tdwg.org/dwc/terms/coordinatePrecision	Location	A decimal representation of the precision of the coordinates given in the decimalLatitude and decimalLongitude.	Examples: "0.00001" (normal GPS limit for decimal degrees), "0.000278" (nearest second), "0.01667" (nearest minute), "1.0" (nearest degree)	Darwin Core	Coordinate Precision		recommended	2015-05-06	2015-05-06	coordinatePrecision-2015-05-06
coordinateUncertaintyInMeters	Location	The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.	The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.	Examples: "30" (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time), "71" (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).	Examples: "30" (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time), "71" (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).				recommended				Darwin Core	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	Coordinate Uncertainty In Meters	number	174	2015-05-06	2015-05-06	kenny	2015-05-06		coordinateUncertaintyInMeters	publish	coordinateUncertaintyInMeters	ethocore_term	http://rs.tdwg.org/dwc/terms/coordinateUncertaintyInMeters	Location	The horizontal distance (in meters) from the given decimalLatitude and decimalLongitude describing the smallest circle containing the whole of the Location. Leave the value empty if the uncertainty is unknown, cannot be estimated, or is not applicable (because there are no coordinates). Zero is not a valid value for this term.	Examples: "30" (reasonable lower limit of a GPS reading under good conditions if the actual precision was not recorded at the time), "71" (uncertainty for a UTM coordinate having 100 meter precision and a known spatial reference system).	Darwin Core	Coordinate Uncertainty In Meters		recommended	2015-05-06	2015-05-06	coordinateUncertaintyInMeters-2015-05-06
